formula,score,activation_mean,activation_std,thermal_mean,thermal_std,ductility_mean,ductility_std
Al0.879452-Nb0.120548,0.259857933511489,1.0429143993993994,0.0606795128533249,0.4238160375375375,0.0372745016238255,0.927390878096389,0.0327019542490706
Al0.793701-Mo0.206299,0.2419081710580932,1.0548512032032031,0.126988388842729,0.4317651378878878,0.0356623666459084,0.9518916287720814,0.0496110154671943
Al0.494737-Mo0.505263,0.2328133697841553,1.0279595,0.0578596933084682,0.4196298986486486,0.0490128317428557,0.9220076094337286,0.0963334865983397
W0.097528-Al0.902472,0.2318338246751448,1.0738697052052053,0.1453761940696431,0.4392743631131131,0.0343551266730779,0.9581495092300814,0.0554711406112355
Al0.744123-Mo0.255877,0.2179431963225296,1.0789155675675677,0.1525121178802163,0.4329565087575087,0.0364709813238197,0.9551469483221624,0.0546581258259265
Al0.741221-Mo0.258779,0.2170743578729244,1.079350086086086,0.1540853605553236,0.4329750733220733,0.036459827265218,0.9551469483221624,0.0546581258259265
Al0.453431-Mo0.546569,0.2146874012917665,1.030034,0.061171606518057,0.4202696599099099,0.0488994026069175,0.9015270889068618,0.106056855803199
W0.501223-Al0.498777,0.1979678465994696,1.068866213893714,0.097947289131613,0.4681365762875762,0.0313714714007533,0.8784311252157687,0.1434162865990885
Al0.531257-W0.468743,0.1962118766922007,1.0642707338737338,0.0929054393106581,0.4582203018348018,0.0355628777458293,0.882841398490235,0.1398536672660665
Al0.996868-Mn0.003132,0.1943900018877168,1.105878903903904,0.1346662941591797,0.4231447940440439,0.0401635364504847,0.932617638226462,0.0313790527539795
