formula,score,act_mean,act_std,th_mean,th_std,du_mean,du_std
Al0.896-Mo0.104,0.28392769347445723,1.0424467987987989,0.12065384694898997,0.4410558038038037,0.03229423483344703,0.9490114210989934,0.03692292931450605
Ta0.065-Al0.935,0.25240477353011365,1.0600738993993994,0.09658813445179922,0.42300383508508504,0.03645242179401981,0.9287545430102288,0.03198299113071585
Al0.867-W0.133,0.24347347893309637,1.0892767082082082,0.17398632031823924,0.4481009796884797,0.03336085048412654,0.9573282298003579,0.061480548337051626
Al0.796-Nb0.204,0.24019260492861866,1.0615231946946948,0.07806097781797496,0.41088177127127135,0.0331164167012892,0.9169741285750012,0.031727770626433546
Al0.476-W0.524,0.21448947026812157,1.070456183923684,0.0995079670346367,0.4711177717737718,0.03054853118234907,0.8628687857764448,0.15315711991611283
Mo0.647-Al0.353,0.20612680428480934,1.027623,0.05850208860374134,0.4594481795264295,0.04430908179456847,0.7777800366079759,0.08875809378089955
V0.048-Al0.952,0.20131917791212972,1.116260383923884,0.1403225832944997,0.4205146654154154,0.04124263114866026,0.9296675002821803,0.035729088145913045
Ti0.145-W0.855,0.1785144245773338,1.06127745004995,0.08795803138801768,0.5373600561938061,0.046043495635474586,0.6444710638855494,0.04941778730467905
Mo0.539-Ti0.461,0.1469561216149236,1.0666444999999998,0.06438684081200133,0.4101904416916918,0.03450466690496545,0.7664856136393454,0.04150830592038789
W0.279-Al0.122-Mo0.599,0.12677260524481818,1.0868600319115318,0.14632804349001075,0.5005600232267732,0.03424738811397418,0.6636809387960441,0.052171101029298526
Al0.398-Mn0.049-Ti0.553,0.12640409189906848,1.1365529934934935,0.09681018328162161,0.3784842737325238,0.03789028620728829,0.8794155936989625,0.06513057912270438
Fe0.105-Al0.601-V0.294,0.10581963281043918,1.258746465024965,0.11985680402071948,0.38505388438438437,0.034560813786411015,0.9562093430596295,0.04293768204722133
Al0.754-W0.198-Si0.048,0.1034765457779278,1.1997028123123123,0.2096813074745355,0.4272449523347023,0.045015561896866424,0.919045749295048,0.12080204233841713
W0.292-Ti0.708,0.08291119956741604,1.1185984574574577,0.12650730509003172,0.39310648127523123,0.048398443170014405,0.7812960645878804,0.053438244601773086
Mn0.127-Cr0.16-Cu0.049-Al0.664,0.06486293629388727,1.3355539039039042,0.14152301694680525,0.4146239634634635,0.028602276688546473,0.9320665002162692,0.05056200173347787
Nb0.514-Mo0.486,0.059883064019932424,1.1174700185185187,0.06842390074945996,0.37453094169169177,0.02819488666376188,0.7188922939006713,0.030208375026384314
Ta0.312-W0.688,0.03974682435254682,1.1648374385984388,0.06334210876870468,0.47123781393606395,0.033788976664139235,0.5904327160110886,0.03528349669215822
Al0.568-Fe0.38-W0.051,0.037030450689003735,1.438433974105974,0.20116732751257302,0.42230299766524765,0.032558221250816206,1.0081238498900673,0.04912836017052791
Al0.07-W0.594-V0.337,0.028362484691445235,1.20080415006715,0.09991834984001126,0.454837963036963,0.02323986009529004,0.6413140975632675,0.027833958529672034
Mo0.683-Si0.238-Fe0.079,0.007765620562023359,1.1504506622021624,0.18811323093602023,0.445349400982401,0.04249651184192811,0.6505617898060101,0.07977531350353877
